BID,RP_norm,RP_area_raw,SPLIT_SEQ,Area_Mult,RP_area_adjusted,RP_area_pctile,SolarAcMEAN,AspectMEANBID,aspect_north_factor,combined_solar,solar_risk,solar_push,RP_solar_only,SlopeMEAN50ft,slope_risk,slope_push,wetland_push,RP_final,RP_S_norm,RP_S_area_raw,RP_S_area_adjusted,RP_S_area_pctile,RP_S_final,CI,zone_count,water_type,SpringChinookRID,salmon_present,salmon_species,Fish_simple,SR_Zone,PADUS_Manager,Manager_Category,BFW,BFW_class,is_hmz,Priority_Tier,Zoning_Group,CITY_UGA,COUNTY_NM,temp_impaired,temp_impaired_cat,fecal_impaired,fecal_impaired_cat,sediment_impaired,sediment_impaired_cat,any_impaired,qc_poly_count,qc_dom_domain,qc_pct_D1,qc_mean_M,qc_mean_D,qc_mean_C,qc_mean_I,qc_mean_I_S
AC100_1,60.61,31241649.0,1,0.5,15620824.0,34.8,972.2,76.7,0.043,993.4,0.62,4.08,64.69,12.94,0.355,0.97,0.0,65.66,61.8,31882318.0,15941159.0,35.0,66.97,23.4,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,,Private/Unknown,82.0,Mainstem,True,P1,Rural Residential,,Whatcom County,True,4A,False,,False,,True,14,D1_Forest,87.8,0.144,0.181,,0.086,0.061
AC100_3,71.71,35303806.0,3,1.25,44129757.0,65.5,972.2,269.8,-0.002,971.2,0.551,4.44,76.15,38.05,0.832,2.79,0.0,78.94,72.24,35566636.0,44458295.0,65.3,79.54,51.9,3,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,,Private/Unknown,82.0,Mainstem,True,P1,Rural Residential,,Whatcom County,True,4A,False,,False,,True,11,D2_Shrub_Comp,2.0,0.184,0.319,,0.141,0.107
AC101_1,40.2,7626538.0,1,0.5,3813269.0,11.7,965.7,100.9,-0.17,883.6,0.314,1.26,41.46,47.28,0.91,1.52,0.0,42.98,41.67,7922579.0,3961290.0,11.9,44.58,5.3,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,82.0,Mainstem,True,P1,Commercial Forest,,Whatcom County,True,4A,False,,False,,True,8,D1_Forest,100.0,0.293,0.176,0.338,0.265,0.233
AC101_2,51.03,100950729.0,2,1.0,100950729.0,86.6,965.7,327.5,0.049,989.5,0.609,3.26,54.29,10.41,0.263,0.59,0.0,54.88,52.51,103987454.0,103987454.0,87.0,56.49,49.1,5,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,82.0,Mainstem,True,P1,Commercial Forest,,Whatcom County,True,4A,False,,False,,True,19,D1_Forest,99.1,0.199,0.084,,0.106,0.076
AC101_4,46.08,75940378.0,4,1.25,94925473.0,85.5,965.7,313.2,0.075,1001.8,0.646,3.06,49.14,26.98,0.681,1.34,0.0,50.48,47.53,78435991.0,98044989.0,85.8,52.1,44.7,5,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,82.0,Mainstem,True,P1,Rural Residential,,Whatcom County,True,4A,False,,False,,True,37,D1_Forest,90.0,0.25,0.214,,0.165,0.137
AC102_1,38.7,28451196.0,1,0.5,14225598.0,32.5,972.7,83.6,0.1,1021.2,0.701,2.69,41.39,52.98,0.945,1.51,0.0,42.9,39.15,28845173.0,14422586.0,32.5,43.41,14.1,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,112.0,Mainstem,True,P1,Commercial Forest,,Whatcom County,True,4A,False,,False,,True,10,D1_Forest,100.0,0.299,0.094,0.407,0.26,0.245
AC102_3,51.48,20950263.0,3,1.25,26187828.0,49.4,972.7,288.7,0.012,978.7,0.575,3.11,54.59,15.25,0.429,0.97,0.0,55.56,52.67,21419084.0,26773855.0,49.7,56.86,28.3,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,112.0,Mainstem,True,P1,Commercial Forest,,Whatcom County,True,4A,False,,False,,True,7,D1_Forest,93.4,0.284,0.116,,0.123,0.1
AC103_1,34.1,107294559.0,1,0.5,53647279.0,71.3,1046.4,110.5,-0.149,968.2,0.542,1.79,35.89,45.35,0.896,1.23,0.0,37.12,33.75,105970161.0,52985080.0,70.7,36.73,26.0,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,"CITY, USFS",Federal,43.0,Large Stream,False,P2,Public/Open Space,,Skagit County,True,4A,False,,False,,True,26,D1_Forest,100.0,0.404,0.017,0.81,0.39,0.399
AC103_3,32.49,64001315.0,3,1.25,80001644.0,81.8,1046.4,223.0,-0.126,980.6,0.581,1.81,34.3,20.7,0.563,0.73,0.0,35.03,32.47,64159032.0,80198790.0,81.6,35.01,28.6,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,"CITY, USFS",Federal,43.0,Large Stream,False,P2,Public/Open Space,,Skagit County,True,4A,False,,False,,True,33,D1_Forest,99.9,0.376,0.09,,0.414,0.41
AC104_2,35.97,70507.0,2,1.0,70507.0,0.6,1034.0,246.4,-0.394,830.5,0.212,0.75,36.72,37.0,0.821,1.2,0.0,37.92,35.47,69526.0,69526.0,0.6,37.39,0.2,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P2,Public/Open Space,,Skagit County,True,4A,False,,False,,True,1,D1_Forest,100.0,0.269,0.022,0.814,0.346,0.355
