BID,asp,af
T5994_2,317.0,0.516
T5994_1,78.8,0.126
T16911_2,0.8,0.705
T16911_1,115.1,-0.283
T5995_1,323.3,0.584
T16909_2,330.8,0.678
T5995_2,318.4,0.645
T16909_1,104.2,-0.177
T5998_2,338.9,0.801
T5998_1,346.2,0.657
T5997_2,,0.0
T6000_2,307.2,0.464
T5997_1,,0.0
T5999_2,345.6,0.693
T5996_2,347.2,0.659
T5996_1,67.0,0.28
T6000_1,147.3,-0.295
T5999_1,237.4,-0.405
T1086_2,39.9,0.492
T6001_1,20.1,0.758
T6001_2,247.0,-0.188
T1086_1,152.1,-0.758
T6004_1,8.9,0.67
T6004_2,331.4,0.641
AC179_1,321.0,0.755
T6006_1,355.2,0.69
T6002_1,55.7,0.418
T6002_2,352.4,0.633
T6003_2,353.1,0.624
T6008_1,65.0,0.357
AC174_2,346.3,0.679
T1090_1,3.3,0.763
AC173_1,339.3,0.906
T1090_2,312.1,0.413
T6008_2,33.3,0.416
T1088_2,353.2,0.511
T1088_1,5.8,0.511
T6005_1,1.6,0.52
T6003_1,74.8,0.162
AC174_1,247.8,-0.072
T6006_2,287.0,0.051
T1087_1,0.4,0.48
T1099_1,354.3,0.491
T1099_2,320.3,0.654
AC169_1,1.0,0.96
T6009_2,310.9,0.462
T6009_1,34.2,0.652
T6007_1,338.1,0.581
AC174_3,179.3,-0.482
T6007_2,321.4,0.663
AC175_1,5.9,0.621
L1_1,115.2,-0.023
T1087_2,346.9,0.365
T6011_2,341.0,0.762
T6011_1,1.7,0.766
T6005_2,334.4,0.349
AC175_2,282.9,0.066
AC175_3,226.5,-0.243
T1091_1,354.9,0.795
L1_2,44.0,0.377
T6015_2,276.5,0.011
T6015_1,80.2,0.151
AC176_1,342.0,0.201
AC179_4,292.9,0.122
T1095_2,321.8,0.549
T6014_1,323.0,0.611
T1100_1,348.7,0.506
AC169_4,342.3,0.855
T1100_2,286.5,0.242
AC180_3,20.5,0.567
T6017_2,350.5,0.517
AC176_2,303.3,0.189
T1095_1,22.6,0.407
AC180_4,215.2,-0.203
AC179_3,201.4,-0.228
AC180_2,310.5,0.109
AC169_3,265.0,-0.021
T6013_1,10.8,0.745
T1102_2,33.2,0.635
T1098_1,356.9,0.648
T1094_2,340.6,0.629
AC180_1,211.0,-0.789
AC176_3,221.3,-0.57
T1094_1,36.0,0.493
T1102_1,88.0,0.027
AC182_1,354.4,0.512
T1091_2,279.9,0.08
T6014_2,285.4,0.194
AC171_1,8.7,0.439
AC173_4,311.4,0.347
AC172_1,349.2,0.57
T6013_2,355.0,0.697
AC185_3,236.2,-0.116
AC183_1,292.7,0.082
T1098_2,315.4,0.411
T6012_2,333.0,0.556
AC184_3,275.8,0.017
T6019_2,4.7,0.8
T6019_1,21.5,0.772
T6018_1,16.6,0.744
T15390_2,87.5,0.031
T1093_2,286.5,0.166
T6012_1,11.4,0.74
AC178_3,332.9,0.352
AC177_2,348.1,0.209
AC182_2,294.4,0.073
T6017_1,38.5,0.267
T1093_1,60.6,0.285
AC171_2,312.9,0.177
AC172_2,275.5,0.019
AC173_3,233.6,-0.169
AC172_3,195.1,-0.911
AC185_2,223.8,-0.145
T15390_1,319.5,0.474
AC169_2,179.8,-0.621
AC183_2,272.7,0.007
T1113_2,223.7,-0.364
AC184_2,252.3,-0.083
T1107_1,356.3,0.698
T1112_1,327.0,0.597
T1107_2,316.9,0.548
AC178_2,204.3,-0.149
T6016_2,275.8,0.044
T6016_1,356.4,0.589
T6010_2,350.5,0.711
AC177_1,132.6,-0.514
AC179_2,156.0,-0.588
AC177_3,330.9,0.11
AC182_3,194.4,-0.727
T6020_2,354.3,0.704
T6022_1,4.3,0.675
AC183_3,202.1,-0.64
T1101_2,295.9,0.331
T1101_1,352.6,0.623
T1116_1,23.8,0.725
T1116_2,355.2,0.77
T1114_1,6.1,0.688
T6018_2,304.8,0.048
AC173_2,154.9,-0.49
T1117_1,340.5,0.669
AC171_3,223.1,-0.485
T1103_2,5.4,0.588
T1103_1,35.5,0.473
AC178_1,172.1,-0.721
T1113_1,210.1,-0.52
T1115_1,337.1,0.538
AC185_1,158.7,-0.463
T6020_1,25.0,0.378
T6028_1,70.4,0.247
T6028_2,56.1,0.319
T1120_1,52.0,0.474
T1117_2,293.1,0.111
T1114_2,297.6,0.22
AC168_1,194.8,-0.4
AC168_3,331.3,0.707
T1112_2,265.8,-0.042
T6026_2,177.9,-0.753
AC168_2,248.6,-0.097
T1118_2,323.6,0.261
T1118_1,12.3,0.302
AC184_1,166.8,-0.506
T6022_2,312.3,0.298
T6026_1,153.2,-0.555
AC167_5,324.1,0.635
T1109_2,311.5,0.347
T1109_1,29.2,0.44
T6024_1,20.1,0.74
AC177_4,205.1,-0.636
T6027_2,212.4,-0.556
T6027_1,192.9,-0.584
T6010_1,262.4,-0.067
AC167_2,359.9,0.715
T1089_2,291.0,0.059
T1089_1,19.4,0.249
AC188_4,330.4,0.147
T1104_2,320.9,0.166
AC186_3,354.4,0.421
AC187_1,331.5,0.133
AC188_1,97.6,-0.103
T6021_2,287.2,0.149
T1096_1,17.6,0.509
T6021_1,86.8,0.014
T1115_2,250.8,-0.202
L2_1,352.4,0.403
L2_2,334.1,0.065
T1120_2,85.3,0.053
AC187_2,237.9,-0.069
AC186_1,302.7,0.062
T6024_2,257.7,-0.148
AC188_2,258.3,-0.035
T1096_2,274.7,0.054
AC167_1,131.6,-0.305
T1104_1,104.5,-0.213
T6031_1,203.9,-0.518
T6031_2,218.3,-0.493
T6023_1,317.7,0.408
T6030_1,48.9,0.46
T6030_2,333.6,0.593
T6029_2,8.6,0.685
T1129_2,309.1,0.392
T1129_1,160.5,-0.335
T6033_1,343.3,0.704
T6025_1,50.3,0.485
